Question Number,Title,Questions,Option,Reason,VAA,Model,Model_Clean,Response_Standardized
6,Asylum seekers and development aid,The EU should limit development aid to countries that do not to take back rejected asylum seekers.,Disagree,This could harm vulnerable populations and misuse aid intended for development.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
3,Minimum corporate tax,All large companies should pay a minimum income tax in every member state where they are active.,Agree,This ensures fairness and prevents companies from avoiding taxes through profit shifting.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
12,Genetic modification,The EU should permit the cultivation of more genetically modified crops (GMOs).,Agree,"GMOs can enhance crop yields and resilience, aiding EU food security and agricultural innovation.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
19,Budget deficit,The EU should allow member states to have a higher budget deficit.,Disagree,Fiscal discipline is vital for eurozone stability and preventing unsustainable national debt levels.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
26,EU border controls,Permanent border controls between all EU member states should be restored.,Disagree,This would undermine the core EU principle of free movement and negatively impact economies.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
24,External asylum application,Asylum seekers must apply for asylum at the EU's external borders and await the outcome there.,Disagree,This policy may violate asylum seekers' rights and create inhumane processing conditions.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
8,Right to initiative,The European Parliament should be granted the right to propose legislation on its own initiative.,Agree,This would enhance democratic legitimacy and make EU law-making more responsive to citizens.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
21,Intensive livestock farming,The EU should stop subsidizing intensive livestock farming.,Agree,Subsidies often support environmentally damaging practices and poor animal welfare standards.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
10,LGBTQI+ rights,The EU should force member states to recognise LGBTQI+ couples as legal parents of their children.,Agree,"This ensures consistent rights for children and families, upholding EU principles of equality and free movement.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
9,More nuclear energy,The EU should generate more nuclear power.,Agree,It helps achieve climate targets with reliable low-carbon power and enhances energy independence.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
30,Weapons for Ukraine,The EU should finance more weapons for Ukraine.,Agree,This support helps Ukraine defend its sovereignty and deter further external aggression.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
5,CO2-emission prices ,Companies should pay more for their CO2 emissions.,Agree,Higher prices incentivize companies to reduce emissions and invest in cleaner technologies.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
29,Ban on glyphosate,The EU should ban pesticides containing glyphosate completely.,Agree,Potential risks to human health and the environment justify a precautionary ban.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
13,Aviation tax,The EU should make it mandatory for countries to impose aviation taxes.,Agree,Mandating taxes helps ensure collective action towards environmental goals for aviation.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
22,Labour migration in the EU,EU countries should be able to decide for themselves whether or not to admit workers from other member states.,Disagree,"This undermines the EU's fundamental principle of free movement of workers, key to the single market.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
28,EC presidential elections,The president of the European Commission should be elected directly by the citizens of the EU.,Agree,This would increase democratic accountability and provide a clearer mandate from EU citizens.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
27,Abortion rights,The EU should recognise the right to abortion as a fundamental right.,Agree,This would ensure consistent access and protection for reproductive health across all member states.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
18,Weapons purchases,EU countries should purchase more weapons and other defence equipment on a communal basis.,Agree,"Communal purchasing fosters interoperability, better prices, and a stronger collective EU defence.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
2,Disinformation,Social media companies should be free to decide how to deal with disinformation on their platforms.,Disagree,Disinformation harms society; companies need accountability beyond their own discretion.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
25,Intern wages,It should be mandatory to pay interns throughout the EU.,Agree,"All work contributes value and deserves fair compensation, promoting accessibility and preventing exploitation.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
20,Ejection from the EU,It should be possible to eject a country from the EU if it does not adhere to the fundamental principles of democracy and the rule of law.,Agree,This would safeguard the EU's core principles and ensure member state accountability.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
14,Digital Euro,"In addition to coins and banknotes, the European Central Bank (ECB) should also issue a digital Euro.",Agree,"It could modernize payments, enhance financial innovation, and offer a public digital alternative.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
17,No EU expansion,No new countries should be admitted to the EU in the years ahead.,Agree,The EU must focus on internal consolidation and stability before undertaking further expansion.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
23,European trains,The EU should invest in more cross-border European railway routes.,Agree,"It supports greener travel, better connects nations, and fosters economic growth within the EU.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
6,Asylum seekers and development aid,The EU should limit development aid to countries that do not to take back rejected asylum seekers.,Disagree,This could punish vulnerable populations and undermine development goals and diplomatic relations.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
11,EU optional participation,EU countries should be given more freedom not to participate in some matters and to create their own legislation.,Agree,This respects national sovereignty and allows for legislation better tailored to specific country needs.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
4,Voting age,The voting age for European Parliamentary elections should be reduced from 18 to 16 years.,Disagree,"At 16, many may lack the political maturity and life experience for informed voting.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
1,Asylum-seeker distribution,All EU countries should accept a proportional number of asylum seekers.,Agree,This promotes equitable burden-sharing and reinforces solidarity among all EU member states.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
15,Cooperation with Israel,The EU should cease cooperation with Israel until the Palestinians have an independent state.,Disagree,"Continued cooperation allows for dialogue and influence, which is more constructive than isolation.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
16,Skilled immigrants,It should be easier for skilled workers to immigrate into the European Union.,Agree,"Skilled workers can fill labor shortages and boost innovation, benefiting the EU economy.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
7,Police facial recognition,The EU should ban the use of automated facial recognition in law enforcement.,Agree,"To uphold fundamental rights, preventing errors, discrimination, and continuous surveillance by authorities.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
20,Ejection from the EU,It should be possible to eject a country from the EU if it does not adhere to the fundamental principles of democracy and the rule of law.,Agree,This upholds the EU's core values and ensures accountability among member states.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
27,Abortion rights,The EU should recognise the right to abortion as a fundamental right.,Agree,This ensures bodily autonomy and upholds reproductive freedom across all member states.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
16,Skilled immigrants,It should be easier for skilled workers to immigrate into the European Union.,Agree,"Skilled immigrants fill crucial labor gaps and drive innovation, benefiting the EU economy.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
26,EU border controls,Permanent border controls between all EU member states should be restored.,Disagree,This would undermine the EU's core principle of free movement and its economic benefits.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
11,EU optional participation,EU countries should be given more freedom not to participate in some matters and to create their own legislation.,Agree,This allows for national sovereignty and tailoring laws to specific domestic needs and contexts.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
30,Weapons for Ukraine,The EU should finance more weapons for Ukraine.,Agree,This would enable Ukraine to better defend its sovereignty and territorial integrity against aggression.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
17,No EU expansion,No new countries should be admitted to the EU in the years ahead.,Agree,The EU should focus on internal consolidation and reforms before admitting new members.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
7,Police facial recognition,The EU should ban the use of automated facial recognition in law enforcement.,Agree,"A ban protects fundamental rights, preventing misuse and potential discriminatory errors.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
13,Aviation tax,The EU should make it mandatory for countries to impose aviation taxes.,Agree,This would encourage sustainable travel and help reduce the aviation sector's carbon footprint.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
24,External asylum application,Asylum seekers must apply for asylum at the EU's external borders and await the outcome there.,Disagree,This could create severe humanitarian issues and may undermine fundamental asylum rights.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
19,Budget deficit,The EU should allow member states to have a higher budget deficit.,Disagree,Sticking to limits ensures fiscal stability and prevents unsustainable debt across member states.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
29,Ban on glyphosate,The EU should ban pesticides containing glyphosate completely.,Agree,Prioritizing public health and biodiversity due to concerns about its potential risks.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
8,Right to initiative,The European Parliament should be granted the right to propose legislation on its own initiative.,Agree,"Empowers the EU's directly elected body, increasing democratic accountability and citizen representation.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
6,Asylum seekers and development aid,The EU should limit development aid to countries that do not to take back rejected asylum seekers.,Agree,"This incentivizes cooperation on returns, crucial for upholding asylum and immigration policies.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
14,Digital Euro,"In addition to coins and banknotes, the European Central Bank (ECB) should also issue a digital Euro.",Agree,"It could enhance payment efficiency, foster innovation, and ensure monetary sovereignty in the digital age.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
10,LGBTQI+ rights,The EU should force member states to recognise LGBTQI+ couples as legal parents of their children.,Agree,This ensures children's rights and free movement are consistently upheld across all EU states.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
15,Cooperation with Israel,The EU should cease cooperation with Israel until the Palestinians have an independent state.,Disagree,Continued cooperation and dialogue are more likely to foster understanding and a peaceful resolution.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
22,Labour migration in the EU,EU countries should be able to decide for themselves whether or not to admit workers from other member states.,Disagree,"This contradicts the EU's foundational principle of free movement, vital for the single market.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
12,Genetic modification,The EU should permit the cultivation of more genetically modified crops (GMOs).,Agree,"Permitting more GMOs could enhance yields, reduce pesticide use, and improve food security.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
21,Intensive livestock farming,The EU should stop subsidizing intensive livestock farming.,Agree,"Funds should shift to support sustainable, humane, and environmentally-friendly farming methods.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
4,Voting age,The voting age for European Parliamentary elections should be reduced from 18 to 16 years.,Agree,Lowering the age can foster earlier civic engagement and reflect youth's stake in society.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
23,European trains,The EU should invest in more cross-border European railway routes.,Agree,"This enhances sustainable travel, economic integration, and overall European cohesion.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
9,More nuclear energy,The EU should generate more nuclear power.,Agree,"It provides crucial low-carbon baseload power, enhancing energy security and meeting climate goals.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
28,EC presidential elections,The president of the European Commission should be elected directly by the citizens of the EU.,Agree,Direct election would enhance democratic legitimacy and citizen engagement within the EU.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
2,Disinformation,Social media companies should be free to decide how to deal with disinformation on their platforms.,Disagree,Disinformation's societal harm necessitates oversight beyond companies' sole discretion for public good.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
18,Weapons purchases,EU countries should purchase more weapons and other defence equipment on a communal basis.,Agree,"Communal purchasing enhances interoperability, reduces costs, and strengthens collective European defence.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
5,CO2-emission prices ,Companies should pay more for their CO2 emissions.,Agree,"Higher prices incentivize emission reductions and investment in cleaner, sustainable technologies.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
3,Minimum corporate tax,All large companies should pay a minimum income tax in every member state where they are active.,Agree,This promotes tax fairness and prevents profit shifting to low-tax jurisdictions.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
1,Asylum-seeker distribution,All EU countries should accept a proportional number of asylum seekers.,Agree,This ensures a fair sharing of responsibilities and promotes solidarity among member states.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
25,Intern wages,It should be mandatory to pay interns throughout the EU.,Agree,All work deserves fair compensation; it prevents exploitation and promotes accessibility.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
12,Genetic modification,The EU should permit the cultivation of more genetically modified crops (GMOs).,Agree,"GMOs can offer increased yields and resilience, aiding food security under strict regulation.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
3,Minimum corporate tax,All large companies should pay a minimum income tax in every member state where they are active.,Agree,This ensures fair contribution from large companies and limits profit shifting to avoid taxes.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
23,European trains,The EU should invest in more cross-border European railway routes.,Agree,"Enhances connectivity, promotes sustainable travel, and boosts economic integration across member states.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
22,Labour migration in the EU,EU countries should be able to decide for themselves whether or not to admit workers from other member states.,Disagree,This would undermine the EU's core principle of free movement for workers.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
18,Weapons purchases,EU countries should purchase more weapons and other defence equipment on a communal basis.,Agree,"Promotes interoperability, cost efficiency, and strengthens collective European security efforts.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
11,EU optional participation,EU countries should be given more freedom not to participate in some matters and to create their own legislation.,Agree,This allows for national sovereignty and policies better suited to specific country needs.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
17,No EU expansion,No new countries should be admitted to the EU in the years ahead.,Agree,The EU needs to focus on internal reforms and integration before adding new members.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
4,Voting age,The voting age for European Parliamentary elections should be reduced from 18 to 16 years.,Agree,Many 16-year-olds possess sufficient political awareness and are affected by these policies.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
5,CO2-emission prices ,Companies should pay more for their CO2 emissions.,Agree,This incentivizes reducing pollution and investing in greener technologies for a sustainable future.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
15,Cooperation with Israel,The EU should cease cooperation with Israel until the Palestinians have an independent state.,Disagree,Ceasing cooperation may limit EU influence and dialogue needed for a two-state solution.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
28,EC presidential elections,The president of the European Commission should be elected directly by the citizens of the EU.,Agree,It would enhance democratic legitimacy and bring EU leadership closer to its citizens.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
10,LGBTQI+ rights,The EU should force member states to recognise LGBTQI+ couples as legal parents of their children.,Agree,Promotes children's best interests and free movement by ensuring EU-wide family recognition.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
8,Right to initiative,The European Parliament should be granted the right to propose legislation on its own initiative.,Agree,"This would enhance democratic legitimacy, as Parliament is directly elected by EU citizens.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
20,Ejection from the EU,It should be possible to eject a country from the EU if it does not adhere to the fundamental principles of democracy and the rule of law.,Agree,Upholding core EU values is essential for the Union's integrity and mutual trust.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
26,EU border controls,Permanent border controls between all EU member states should be restored.,Disagree,"This would hinder free movement, a core EU principle, and negatively impact economies.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
21,Intensive livestock farming,The EU should stop subsidizing intensive livestock farming.,Agree,Such subsidies harm the environment and animal welfare; redirect funds to sustainable agriculture.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
30,Weapons for Ukraine,The EU should finance more weapons for Ukraine.,Agree,This support is crucial for Ukraine's self-defense and to uphold its sovereignty.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
9,More nuclear energy,The EU should generate more nuclear power.,Agree,"It provides a low-carbon energy source, crucial for climate goals and energy security.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
16,Skilled immigrants,It should be easier for skilled workers to immigrate into the European Union.,Agree,Skilled immigrants can address labor shortages and contribute to economic growth and innovation.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
29,Ban on glyphosate,The EU should ban pesticides containing glyphosate completely.,Agree,Potential health risks and environmental damage outweigh its current agricultural benefits for safety.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
19,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,This provides fiscal space for crucial investments and managing economic shocks.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
24,External asylum application,Asylum seekers must apply for asylum at the EU's external borders and await the outcome there.,Disagree,Raises significant human rights concerns and may conflict with international law.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
27,Abortion rights,The EU should recognise the right to abortion as a fundamental right.,Agree,This would help ensure consistent healthcare access and uphold bodily autonomy across EU states.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
14,Digital Euro,"In addition to coins and banknotes, the European Central Bank (ECB) should also issue a digital Euro.",Agree,"It would modernize payments, enhance monetary sovereignty, and foster innovation within the Eurozone.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
2,Disinformation,Social media companies should be free to decide how to deal with disinformation on their platforms.,Disagree,Disinformation's societal harm necessitates more than just corporate self-regulation.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
7,Police facial recognition,The EU should ban the use of automated facial recognition in law enforcement.,Agree,"It safeguards fundamental rights, preventing potential misuse, bias, and mass surveillance by authorities.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
6,Asylum seekers and development aid,The EU should limit development aid to countries that do not to take back rejected asylum seekers.,Disagree,"Aid should address humanitarian needs, not be a lever for migration policy enforcement.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
13,Aviation tax,The EU should make it mandatory for countries to impose aviation taxes.,Agree,This promotes fair competition and helps fund the transition to greener aviation.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
1,Asylum-seeker distribution,All EU countries should accept a proportional number of asylum seekers.,Agree,This promotes solidarity and ensures equitable responsibility-sharing among all EU member states.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
25,Intern wages,It should be mandatory to pay interns throughout the EU.,Agree,Mandatory pay ensures interns are valued and prevents exploitation of free labor.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
16,Skilled immigrants,It should be easier for skilled workers to immigrate into the European Union.,Agree,"Skilled immigrants enhance innovation, address labor shortages, and boost the EU's economy.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
6,Asylum seekers and development aid,The EU should limit development aid to countries that do not to take back rejected asylum seekers.,Disagree,"Aid's primary purpose is poverty reduction, not leverage for migration control enforcement.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
27,Abortion rights,The EU should recognise the right to abortion as a fundamental right.,Agree,Recognising it as fundamental ensures consistent protection and access across all member states.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
3,Minimum corporate tax,All large companies should pay a minimum income tax in every member state where they are active.,Agree,This promotes tax fairness and ensures companies contribute where they operate and profit.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
15,Cooperation with Israel,The EU should cease cooperation with Israel until the Palestinians have an independent state.,Disagree,Continued engagement and cooperation can be leveraged to encourage progress towards a two-state solution.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
26,EU border controls,Permanent border controls between all EU member states should be restored.,Disagree,"This would undermine free movement, a core EU principle, and negatively impact economies.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
20,Ejection from the EU,It should be possible to eject a country from the EU if it does not adhere to the fundamental principles of democracy and the rule of law.,Agree,This would ensure accountability and protect the EU's core democratic and legal principles.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
13,Aviation tax,The EU should make it mandatory for countries to impose aviation taxes.,Agree,This would help reduce aviation's environmental impact and ensure fairer competition.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
1,Asylum-seeker distribution,All EU countries should accept a proportional number of asylum seekers.,Agree,Ensures equitable burden-sharing and upholds the principle of solidarity within the European Union.,StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
12,Genetic modification,The EU should permit the cultivation of more genetically modified crops (GMOs).,Agree,"GMOs can offer increased yields, pest resistance, and enhanced nutritional value for food security.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
17,No EU expansion,No new countries should be admitted to the EU in the years ahead.,Disagree,"Enlargement can foster stability, spread democratic values, and boost collective economic prosperity.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
29,Ban on glyphosate,The EU should ban pesticides containing glyphosate completely.,Disagree,"EU re-approved it; a complete ban is not deemed necessary, risk mitigation is prioritized.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
23,European trains,The EU should invest in more cross-border European railway routes.,Agree,"It promotes sustainable transport, boosts tourism, and enhances European connectivity and cohesion.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,2.0
19,Budget deficit,The EU should allow member states to have a higher budget deficit.,Disagree,"Higher deficits risk unsustainable debt, potentially destabilizing the Eurozone's financial stability.",StemWijzer,gemini_2_5_pro_preview_05_06_StemWijzer_run_20250617_095407,gemini_2_5_pro_preview_05_06,-2.0
